2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95
Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,LeBron James,LeBron James,LeBron James,LeBron James,Kevin Durant,LeBron James,Kevin Durant,Kevin Durant,Kevin Durant,Dirk Nowitzki,Kevin Garnett,Tim Duncan,LeBron James,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Tim Duncan,Grant Hill,Scottie Pippen,Scottie Pippen
Jayson Tatum,Jayson Tatum,Kawhi Leonard,LeBron James,Paul George,Kevin Durant,Kawhi Leonard,Kawhi Leonard,Anthony Davis,LeBron James,Kevin Durant,LeBron James,LeBron James,LeBron James,LeBron James,LeBron James,Dirk Nowitzki,Dirk Nowitzki,Dirk Nowitzki,Kevin Garnett,Kevin Garnett,Tracy McGrady,Chris Webber,Kevin Garnett,Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone
Joel Embiid,Nikola Jokic,Nikola Jokic,Anthony Davis,Nikola Jokic,Anthony Davis,Anthony Davis,DeAndre Jordan,Marc Gasol,Joakim Noah,Tim Duncan,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Dwight Howard,Amar'e Stoudemire,Shaquille O'Neal,Shaquille O'Nea,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,Hakeem Olajuwon,David Robinson,David Robinson
Luka Doncic,Devin Booker,Stephen Curry,James Harden,James Harden,James Harden,James Harden,Stephen Curry,Stephen Curry,James Harden,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Kobe Bryant,Allen Iverson,Kobe Bryant,Kobe Bryant,Kobe Bryant,Allen Iverson,Gary Payton,Allen Iverson,Michael Jordan,Michael Jordan,Michael Jordan,John Stockton
Shai Gilgeous-Alexander,Luka Doncic,Luka Doncic,Luka Doncic,Stephen Curry,Damian Lillard,Russell Westbrook,Russell Westbrook,James Harden,Chris Paul,Chris Paul,Chris Paul,Derrick Rose,Dwyane Wade,Dwyane Wade,Chris Paul,Steve Nash,Steve Nash,Steve Nash,Jason Kidd,Tracy McGrady,Jason Kidd,Jason Kidd,Jason Kidd,Jason Kidd,Gary Payton,Tim Hardaway,Anfernee Hardaway,Anfernee Hardaway
Jimmy Butler,DeMar DeRozan,Julius Randle,Kawhi Leonard,Kevin Durant,LaMarcus Aldridge,Giannis Antetokounmpo,Kevin Durant,LaMarcus Aldridge,Blake Griffin,Carmelo Anthony,Kevin Love,Pau Gasol,Carmelo Anthony,Tim Duncan,Tim Duncan,Chris Bosh,Elton Brand,Kevin Garnett,Tracy McGrady,Dirk Nowitzki,Kevin Garnett,Kevin Garnett,Grant Hill,Grant Hill,Grant Hill,Scottie Pippen,Grant Hill,Charles Barkley
Jaylen Brown,Kevin Durant, LeBron James,Pascal Siakam,Kawhi Leonard,Giannis Antetokounmpo,Kevin Durant,Draymond Green,DeMarcus Cousins,Kevin Love,Blake Griffin,Blake Griffin,Dirk Nowitzki,Dirk Nowitzki,Paul Pierce,Dirk Nowitzki,LeBron James,Tim Duncan,LeBron James,Peja Stojakovic,Chris Webber,Chris Webber,Vince Carter,Karl Malone,Chris Webber,Vin Baker,Glen Rice,Shawn Kemp, Shawn Kemp
Nikola Jokic,Joel Embiid,Joel Embiid,Nikola Jokic,Joel Embiid,Joel Embiid,Rudy Gobert,DeMarcus Cousins,Pau Gasol,Dwight Howard,Marc Gasol,Andrew Bynum,Amar'e Stoudemire,Amar'e Stoudemire,Yao Ming,Amar'e Stoudemire,Yao Ming,Ben Wallace,Amar'e Stoudemire,Jermaine O'Neal,Ben Wallace,Dirk Nowitzki,Dikembe Mutombo,Alonzo Mourning,Shaquille O'Neal,David Robinson,Patrick Ewing,Hakeem Olajuwon,Shaquille O'Neal
Donovan Mitchell, Ja Morant,Chris Paul,Damian Lillard,Damian Lillard,DeMar DeRozan,Stephen Curry,Chris Paul,Russell Westbrook,Stephen Curry,Tony Parker,Tony Parker,Dwyane Wade,Steve Nash,Chris Paul,Steve Nash,Gilbert Arenas,Chauncey Billups,Ray Allen,Ben Wallace,Allen Iverson,Allen Iverson,Kobe Bryant,Kobe Bryant,Tim Hardaway,Tim Hardaway,Gary Payton,Gary Payton,Gary Payton
Stephen Curry,Stephen Curry,Damian Lillard,Chris Paul,Kyrie Irving,Russell Westbrook,Isaiah Thomas,Damian Lillard,Chris Paul,Tony Parker,Russell Westbrook,Russell Westbrook,Russell Westbrook,Deron Williams,Brandon Roy,Deron Williams,Tracy McGrady,Dwyane Wade,Dwyane Wade,Sam Cassell,Jason Kidd,Gary Payton,Tracy McGrady,Allen Iverson,Gary Payton,Rod Strickland,Mitch Richmond,John Stockton,Mitch Richmond
Julius Randle,Pascal Siakam,Jimmy Butler,Jayson Tatum,Blake Griffin,Paul George,Draymond Green,Paul George,Blake Griffin,Paul George,David Lee,Carmelo Anthony,LaMarcus Aldridge,Tim Duncan,Carmelo Anthony,Carlos Boozer,Carmelo Anthony,Carmelo Anthony,Shawn Marion,Ron Artest,Jamal Mashburn,Jermaine O'Neal,Karl Malone,Vince Carter,Kevin Garnett,Scottie Pippen,Vin Baker,Charles Barkley,Dennis Rodman
LeBron James,LeBron James,Paul George,Jimmy Butler,LeBron James,Jimmy Butler,Jimmy Butler,LaMarcus Aldridge,Tim Duncan,LaMarcus Aldridge,Paul George,Dirk Nowitzki,Zach Randolph,Pau Gasol,Pau Gasol,Paul Pierce,Kevin Garnett,Shawn Marion,Tracy McGrady,Dirk Nowitzki,Paul Pierce,Ben Wallace,Dirk Nowitzki,Chris Webber,Antonio McDyess,Glen Rice,Anthony Mason,Juwan Howard,Detlef Schrempf
Domantas Sabonis,Karl-Anthony Towns,Rudy Gobert,Rudy Gobert,Rudy Gobert,Karl-Anthony Towns,DeAndre Jordan,Andre Drummond,DeAndre Jordan,Al Jefferson,Dwight Howard,Tyson Chandler,Al Horford,Andrew Bogut,Shaquille O'Neal,Yao Ming,Dwight Howard,Yao Ming,Ben Wallace,Yao Ming,Jermaine O'Neal,Dikembe Mutombo,David Robinson,David Robinson,Hakeem Olajuwon,Dikembe Mutombo,Shaquille O'Neal,Shaquille O'Neal,Hakeem Olajuwon
De'Aaron Fox,Chris Paul,Bradley Beal,Ben Simmons,Russell Westbrook,Stephen Curry,John Wall,Klay Thompson,Klay Thompson,Goran Dragic,Dwyane Wade,Dwyane Wade,Manu Ginobili,Joe Johnson,Chauncey Billups,Manu Ginobil,Chauncey Billups,Gilbert Arenas,Gilbert Arenas,Baron Davis,Stephon Marbury,Steve Nash,Ray Allen,Eddie Jones,Kobe Bryant,Reggie Miller,Anfernee Hardaway,Reggie Miller,Reggie Miller
Damian Lillard,Trae Young,Kyrie Irving,Russell Westbrook,Kemba Walker,Victor Oladipo,DeMar DeRozan,Kyle Lowry,Kyrie Irving,Damian Lillard,James Harden,Rajon Rondo,Chris Paul,Brandon Roy,Tony Parker,Tracy McGrady,Dwyane Wade,Allen Iverson,Kobe Bryant,Michael Redd,Steve Nash,Paul Pierce,Gary Payton,Stephon Marbury,John Stockton,Mitch Richmond,John Stockton,Mitch Richmond,Clyde Drexler
Paolo Banchero,Scottie Barnes,LaMelo Ball,Ja Morant,Luka Doncic,Kyle Kuzma,Malcolm Brogdon,Karl-Anthony Towns,Andrew Wiggins,Michael Carter-Williams,Damian Lillard,Kyrie Irving,DeMarcus Cousins,Darren Collison,Michael Beasley,Kevin Durant,Andrea Bargnani,Andrew Bogut,Luol Deng,Carmelo Anthony,Caron Butler,Shane Battier,Marc Jackson,Elton Brand,Mike Bibby,Tim Duncan,Shareef Abdur-Rahim,Antonio McDyess,Brian Grant
Walker Kessler,Cade Cunningham,Anthony Edwards,Kendrick Nunn,Trae Young,Lauri Markkanen,Dario Saric,Kristaps Porzingis,Nikola Mirotic,Victor Oladipo,Bradley Beal,Ricky Rubio,Landry Fields,Stephen Curry,Brook Lopez,Jeff Green,Randy Foye,Channing Frye,Ben Gordon,Chris Bosh,Drew Gooden,Pau Gasol,Kenyon Martin,Steve Francis,Vince Carter,Zydrunas Ilgauskas,Marcus Camby,Joe Smith,Grant Hill
Jalen Williams,Evan Mobley,Tyrese Haliburton,Brandon Clarke,Deandre Ayton,Donovan Mitchell,Joel Embiid,Devin Booker,Nerlens Noel,Trey Burke,Anthony Davis,Kenneth Faried,Blake Griffin,Tyreke Evans,O.J. Mayo,Al Horford,Rudy Gay,Chris Paul,Dwight Howard,Kirk Hinrich,Nene Hilario,Andrei Kirilenko,Darius Miles,Andre Miller,Matt Harpring,Brevin Knight,Allen Iverson,Jerry Stackhouse,Eddie Jones
Bennedict Mathurin,Franz Wagner,Saddiq Bey,Zion Williamson,Jaren Jackson Jr.,Ben Simmons,Buddy Hield,Nikola Jokic,Elfrid Payton,Mason Plumlee,Dion Waiters,Klay Thompson,Gary Neal,Taj Gibson,Derrick Rose,Luis Scola,Brandon Roy,Charlie Villanueva,Andre Iguodala,LeBron James,Yao Ming,Tony Parker,Mike Miller,Lamar Odom,Paul Pierce,Ron Mercer,Stephon Marbury,Damon Stoudamire,Jason Kidd
Keegan Murray,Jalen Green,Jae'Sean Tate,Eric Paschall,Marvin Bagley III,Jayson Tatum,Willy Hernangomez,Jahlil Okafor,Jordan Clarkson,Tim Hardaway Jr.,Harrison Barnes,Iman Shumpert,John Wall,Brandon Jennings,Russell Westbrook,Al Thornton,LaMarcus Aldridge,Deron Williams,Emeka Okafor,Dwyane Wade,Amare' Stoudemire,Jason Richardson,Morris Peterson,Wally Szczerbiak,Jason Williams,Keith Van Horn,Antoine Walker,Michael Finley,Glenn Robinson
Jalen Duren,Herbert Jones,Immanuel Quickley,Tyler Herro,Shai Gilgeous-Alexander,Lonzo Ball,Jamal Murray,Justise Winslow,Marcus Smart,Kelly Olynyk,Andre Drummond,Chandler Parsons,Eric Bledsoe,DeJuan Blair,Mario Chalmers,Carl Landry,Paul Millsap,Raymond Felton,Josh Childress,Marquis Daniels,Carlos Boozer,Eddie Griffin,Courtney Alexander,Ron Artest,Michael Dickerson,Derek Anderson,Ray Allen,Brent Barry,Juwan Howard
Jaden Ivey,Josh Giddey,Desmond Bane,Terence Davis II,Collin Sexton,Bogdan Bogdanovic,Jaylen Brown,D'Angelo Russell,Zach LaVine,Giannis Antetokounmpo,Jonas Valanciunas,Isaiah Thomas,Derrick Favors,Jonny Flynn,Marc Gasol,Jamario Moon,Adam Morrison,Ryan Gomes,Al Jefferson,T.J. Ford,J.R. Bremer,Richard Jefferson,Marcus Fizer,Chucky Atkins,Michael Doleac,Cedric Henderson,Kobe Bryant,Tyus Edney,Eric Montross
Tari Eason,Bones Hyland,Isaiah Stewart,Coby White,Landry Shamet,John Collins,Marquese Chriss,Emmanuel Mudiay,Bojan Bogdanovic,Gorgui Dieng,Michael Kidd-Gilchrist,MarShon Brooks,Paul George,James Harden,Eric Gordon,Juan Carlos Navarro,Craig Smith,Danny Granger,Nenad Krstic,Udonis Haslem,Manu Ginobili,Zeljko Rebraca,Desmond Mason,Shawn Marion,Antawn Jamison,Bobby Jackson,Kerry Kittles,Kevin Garnett,Wesley Person
Jabari Smith Jr.,Ayo Dosunmu,Isaac Okoro,P.J. Washington Jr.,Mitchell Robinson,Josh Jackson,Brandon Ingram,Myles Turner,Jusuf Nurkic,Cody Zeller,Kyle Singler,Derrick Williams,Wesley Johnson,Jonas Jerebko,Kevin Love,Rodney Stuckey,Tyrus Thomas,Luther Head,Jameer Nelson,Jarvis Hayes,Gordon Giricek,Jamaal Tinsley,Chris Mihm,James Posey,Cuttino Mobley,Maurice Taylor,Travis Knight,Bryant Reeves,Jalen Rose
Jeremy Sochan,Chris Duarte,Patrick Williams,Rui Hachimura,Kevin Huerter,Dennis Smith Jr.,Yogi Ferrell,Willie Cauley-Stein,Langston Galloway,Steven Adams,Tyler Zeller,Tristan Thompson,Greg Monroe,Marcus Thornton,D.J. Augustin,Thaddeus Young,Walter Hermann,Marvin Williams,Josh Smith,Josh Howard,Jay Williams,Joe Johnson,Hedo Turkoglu,Jason Terry,Michael Olowokandi,Tim Thomas,Matt Maloney,Rasheed Wallace,Donyell Marshall
